T. Geddes Grant (Distributors) Limited,,,,,,,,,,,,
Container Receival Report ,,,,,,,,,,,,
"for week ending June 16, 2017  ",,,,,,,,,,,,
,,,,,,,,,,,,
PO #,PO Date,Supplier,Product Description,Qty,Size Container,Container #,Shipping Line,ETA Jamaica,ETA TGG,Actual Arrival Date - TGG,Date Offloaded,Date left compound
23054,"April 26, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,,4 - 40,,,"June 18, 2017","June 25, 2017",,,
23054,"April 26, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,,8 - 40,,,"June 18, 2017","June 25, 2017",,,
23055,"April 26, 2017",S. M. Jaleel & Company Limited,Assorted Juice Products,,7 - 40,,,"June 18, 2017","June 25, 2017",,,
23055,"April 26, 2017",S. M. Jaleel & Company Limited,Assorted Juice Products,,8 - 40,,,"June 18, 2017","June 25, 2017",,,
23126,"May 11, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,,7 - 40,,,"June 18, 2017","June 25, 2017",,,
23130,"May 9, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,,6 - 40,,,"June 18, 2017","June 25, 2017",,,
23131,"May 9, 2017",S. M. Jaleel & Company Limited,Assorted Juice Products,,4 - 40,,,"June 18, 2017","June 25, 2017",,,
23132,"May 9, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,,3 - 40,,,"June 18, 2017","June 25, 2017",,,
23132,"May 9, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,,7 - 40,,,"June 18, 2017","June 25, 2017",,,
23132,"May 9, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,,7 - 40,,,"June 18, 2017","June 25, 2017",,,
23132,"May 9, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,,7 - 40,,,"June 18, 2017","June 25, 2017",,,
23134,"May 9, 2017",S. M. Jaleel & Company Limited,Assorted Juice Products,,,,,"June 18, 2017","June 25, 2017",,,
23134,"May 11, 2017",S. M. Jaleel & Company Limited,Assorted Juice Products,,8 - 40,,,"June 18, 2017","June 25, 2017",,,
23246,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted Juice Products,,6 - 40,,,"June 18, 2017","June 25, 2017",,,
23246,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted Juice Products,,6 - 40,,,"June 18, 2017","June 25, 2017",,,
23238,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,,6 - 40,,,"June 18, 2017","June 25, 2017",,,
23238,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,,6 - 40,,,"June 18, 2017","June 25, 2017",,,
23238,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,,6 - 40,,,"June 18, 2017","June 25, 2017",,,
23238,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,,8 - 40,,,"June 18, 2017","June 25, 2017",,,
23238,"May 25, 2017",S.M. Jaleel & Company Limited,Assorted CSD Products,,8 - 40,,,"June 18, 2017","June 25, 2017",,,
23238,"May 25, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,,8 - 40,,,"June 18, 2017","June 25, 2017",,,
22848,,Riviana Foods,Assorted Blue Ribbon Products,,20,,,"June 18, 2017","June 25, 2017",,,
22575,"February 24, 2017",A. M. Capens & Company,Assorted Office Furniture,,40,,,"June 18, 2017","June 25, 2017",,,
22588,"February 28, 2017",Arcor Argentina,Assorted Arcor Products,,40,,,"June 18, 2017","June 25, 2017",,,
23141,,Kimberly Clark,Assorted Paper Products,,,,,"June 18, 2017","June 25, 2017",,,
23143,,Kimberly Clark,Assorted Paper Products,,,,,"June 18, 2017","June 25, 2017",,,
23147,,Kimberly Clark,Assorted Paper Products,,,,,"June 18, 2017","June 25, 2017",,,
23148,,Kimberly Clark,Assorted Paper Products,,,,,"June 18, 2017","June 25, 2017",,,
23149,,Kimberly Clark,Assorted Paper Products,,,,,"June 18, 2017","June 25, 2017",,,
22920,"April 6, 2017",CGA Limited,Simply Natural Coconut Oil,,40,,,"June 18, 2017","June 25, 2017",,,
23123,,Kimberly Clark,Assorted KC Products,,,,,"June 19, 2017","June 26, 2017",,,
23125,,Kimberly Clark,Assorted KC Products,,,,,"June 19, 2017","June 26, 2017",,,
23121,,Kimberly Clark,Assorted KC Products,3086 cases,40,APHU 673354-7,CMA-CGM,"June 19, 2017","June 26, 2017",,,
23122,,Kimberly Clark,Assorted KC Products,3119 cases,40,CMAU 511258-5,, , ,,,
23124,,Kimberly Clark,Assorted KC Products,1547 cases,40,CMAU 562151-4,, , ,,,
23262,"May 29, 2017",Guyana Stockfeeds Inc.,Angel Parboiled Rice 22kg,1100 bags,,,,"June 21, 2017","June 28, 2017",,,
23128,,Kimberly Clark,Assorted Paper Products,,,,,"June 22, 2017","June 29, 2017",,,
23295,"June 1, 2017",Caricom Rice Mills,Caricom Pride White Rice 45kg,,6 -20,,,"June 24, 2017","July 1, 2017",,,
23146,,Kimberly Clark,Assorted Paper Products,,,,,"June 25, 2017","July 2, 2017",,,
