,PONUM,PODate,SUPPLIER,ProductDescription,Qty,SizeContainer,ContainerNUM,ShippingLine,ETAJamaica,ETATGG,AADTGG,DateOffloaded,Dateleft
100,23132,"May 9, 2017",S. M. Jaleel & Company Limited,Busta Orange 370ml,2520 cases,40,TEMU 676896-4,Zim,"June 18, 2017","June 25, 2017",?,?,?
101,23132,"May 9, 2017",S. M. Jaleel & Company Limited,Busta Orange 370ml,2520 cases,40,ZCSU 895481-2,Zim,"June 18, 2017","June 25, 2017",?,?,?
102,22967,?,S. M. Jaleel & Company Limited,Busta Banana 370ml,2520 cases,40,TGHU 773450-7,Seaboard,"June 18, 2017","June 25, 2017",?,?,?
103,23238,?,S. M. Jaleel & Company Limited,Busta Banana 590ml,1680 cases,40,NEXU 953027-9,Seaboard,"June 18, 2017","June 25, 2017",?,?,?
104,23238,?,S. M. Jaleel & Company Limited,Busta Pineapple 590ml,1680 cases,40,SMLU 783604-7,Seaboard,"June 18, 2017","June 25, 2017",?,?,?
105,23132,?,S. M. Jaleel & Company Limited,Busta Banana 370ml,2520 cases,40,TRLU 822753-3,Seaboard,"June 18, 2017","June 25, 2017",?,?,?
106,23248,?,S. M. Jaleel & Company Limited,Assorted Fruta Products,5698 cases,40,SMLU 788832-8,Seaboard,"June 18, 2017","June 25, 2017",?,?,?
107,23127,?,Kimberly Clark,Assorted Paper Products,?,?,?,?,"June 18, 2017","June 25, 2017",?,?,?
108,23144,?,Kimberly Clark,Assorted Paper Products,?,?,?,?,"June 18, 2017","June 25, 2017",?,?,?
109,23145,?,Kimberly Clark,Assorted Paper Products,?,?,?,?,"June 18, 2017","June 25, 2017",?,?,?
110,23150,?,Kimberly Clark,Assorted Paper Products,?,?,?,?,"June 18, 2017","June 25, 2017",?,?,?
111,23151,?,Kimberly Clark,Assorted Paper Products,?,?,?,?,"June 18, 2017","June 25, 2017",?,?,?
112,23152,?,Kimberly Clark,Assorted Paper Products,?,?,?,?,"June 18, 2017","June 25, 2017",?,?,?
113,22997,"April 21, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?,4 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
114,22997,?,S. M. Jaleel & Company Limited,Assorted CSD Products,?,3 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
115,22998,"April 21, 2017",S.M. Jaleel & Company Limited,Assorted CSD Products,?,4 - 40,?,Seaboard,"June 18, 2017","June 25, 2017",?,?,?
116,23051,"April 26, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?, 7 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
117,23051,"April 26, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?, 8 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
118,23053,"April 26, 2017",S. M. Jaleel & Company Limited,Assorted Juice Products,?,9 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
119,23054,"April 26, 2017",S. M. Jaleel & Company Limited,Assorted CSD Products,?,4 - 40,?,?,"June 18, 2017","June 25, 2017",?,?,?
