,PONUM,PODate,SUPPLIER,ProductDescription,Qty,SizeContainer,ContainerNUM,ShippingLine,ETAJamaica,ETATGG,AADTGG,DateOffloaded,Dateleft
169,22282,?,Ziotis International Limited,Assorted Pharmaceutical Products,?,40,TEMU 685767-6,CMA-CGM,"June 27, 2017","July 4, 2017",?,?,?
170,22282,?, , ,?,20,CMAU 191608-1,?, , ,?,?,?
171,22282,?, ,Assorted Glenmark Products,1054 cases,20,HASU 110253-3,?, , ,?,?,?
172,22282,?, ,?,?,40,SUDU 656976-0,?, , ,?,?,?
173,22282,?, ,Office Furniture,1148 cases,40,SUDU 868702-1,?, , ,?,?,?
174,22282,?, ,?,?,40,HASU 412700-5,?, , ,?,?,?
175,23351,"June 9, 2017",Kimberly Clark,Scott Jumbo 2 ply Tissue,2160 cases,40,?,?,"June 29, 2017","July 6, 2017",?,?,?
176,23350,"June 9, 2017",Kimberly Clark,Scott Jumbo 2 ply Tissue,2160 cases,40,?,?,"June 29, 2017","July 6, 2017",?,?,?
177,23349,"June 9, 2017",Kimberly Clark,Scott Jumbo 2 ply Tissue,2160 cases,40,?,?,"June 29, 2017","July 6, 2017",?,?,?
178,23352,"June 9, 2017",Kimberly Clark,Scott Jumbo 2 ply Tissue,2160 cases,40,?,?,"June 29, 2017","July 6, 2017",?,?,?
179,23102,"May 4, 2017",Dow Agrisciences Ind. Limited,Dithane 48 x 500gms,?,?,?,?,"June 29, 2017","July 6, 2017",?,?,?
180,23229,?,MeadJohnson Nutritionales,Assorted Alacta Plus Products,?,?,?,?,"June 30, 2017","July 7, 2017",?,?,?
181,23296,"June 1, 2017",Caricom Rice Mills,Caricom Pride White Rice 45kg,?,6 - 20,?,?,"July 1, 2017","July 8, 2017",?,?,?
182,23284,"May 31, 2017",CGA Limited,Assorted Simply Natural Coconut Oil,2100 cases,?,?,?,"July 2, 2017","July 9, 2017",?,?,?
183,23263,"May 29, 2017",Guyana Stockfeeds Inc.,Angel Parboiled Rice 22kg,1100 bags,?,?,?,"July 3, 2017","July 10, 2017",?,?,?
184,23263,"May 29, 2017",Guyana Stockfeeds Inc.,Assorted Pharmaceutical Products,992 cases,40,APHU 719248-9,?,"July 3, 2017","July 10, 2017",?,?,?
185,23297,"June 1, 2017",Caricom Rice Mills,Caricom Pride White Rice 45kg,?,5 - 20,?,?,"July 8, 2017","July 15, 2017",?,?,?
186,23285,"May 31, 2017",CGA Limited,Assorted Simply Natural Coconut Oil,2100 cases,?,?,?,"July 9, 2017","July 16, 2017",?,?,?
187,23376,"June 15, 2017",Kimberly Clark,Assorted Paper Products,?,40,?,?,"July 9, 2017","July 16, 2017",?,?,?
188,23378,"June 15, 2017",Kimberly Clark,Assorted Paper Products,?,40,?,?,"July 9, 2017","July 16, 2017",?,?,?
189,23395,"June 15, 2017",Kimberly Clark,Assorted KC Products,?,40,?,?,"July 10, 2017","July 17, 2017",?,?,?
190,23393,"June 15, 2017",Kimberly Clark,Assorted KC Products,?,40,?,?,"July 10, 2017","July 17, 2017",?,?,?
191,23392,"June 15, 2017",Kimberly Clark,Assorted KC Products,?,40,?,?,"July 10, 2017",?,?,?,?
192,23389,"June 16, 2017",Kimberly Clark,Assorted Paper Products,?,40,?,?,"July 13, 2017","July 20, 2017",?,?,?
193,23388,"June 16, 2017",Kimberly Clark,Assorted Paper Products,?,20,?,?,"July 13, 2017","July 20, 2017",?,?,?
194,23298,"June 1, 2017",Caricom Rice Mills,Caricom Pride White Rice 45kg,?,7 - 20,?,?,"July 15, 2017","July 22, 2017",?,?,?
195,23377,"June 15, 2017",Kimberly Clark,Assorted Paper Products,?,40,?,?,"July 16, 2017","July 23, 2017",?,?,?
196,23379,"June 15, 2017",Kimberly Clark,Assorted Paper Products,?,40,?,?,"July 16, 2017","July 23, 2017",?,?,?
197,23381,"June 15, 2017",Kimberly Clark,Assorted Paper Products,?,40,?,?,"July 16, 2017","July 23, 2017",?,?,?
198,23382,"June 15, 2017",Kimberly Clark,Assorted Paper Products,?,40,?,?,"July 16, 2017","July 23, 2017",?,?,?
199,23394,"June 15, 2017",Kimberly Clark,Assorted KC Products,?,40,?,?,"July 17, 2017","July 24, 2017",?,?,?
200,23390,"June 15, 2017",Kimberly Clark,Assorted KC Products,?,40,?,?,"July 17, 2017","July 24, 2017",?,?,?
201,23328,"June 6, 2017",Crown Point,Argentine Pitted Prunes ,2090 cases,20,?,Hapag Lloyd,"July 21, 2017","July 28, 2017",?,?,?
202,23380,"June 15, 2017",Kimberly Clark,Assorted Paper Products,?,40,?,?,"July 23, 2017","July 30, 2017",?,?,?
203,23383,"June 15, 2017",Kimberly Clark,Assorted Paper Products,?,40,?,?,"July 23, 2017","July 30, 2017",?,?,?
204,23384,"June 15, 2017",Kimberly Clark,Assorted Paper Products,?,40,?,?,"July 23, 2017","July 30, 2017",?,?,?
205,23385,"June 15, 2017",Kimberly Clark,Assorted Paper Products,?,40,?,?,"July 23, 2017","July 30, 2017",?,?,?
206,23396,"June 15, 2017",Kimberly Clark,Assorted KC Products,?,40,?,?,"July 24, 2017","July 31, 2017",?,?,?
207,23391,"June 15, 2017",Kimberly Clark,Assorted KC Products,?,40,?,?,"July 24, 2017","July 31, 2017",?,?,?
208,23318,"June 5, 2017",B. Terfloth + Cie (Canada) Inc.,Whole & Broken Cherries 30lbs,200 cases,?,?,Zim,.,#VALUE!,?,?,?
209,23318,"June 5, 2017",B. Terfloth + Cie (Canada) Inc.,Fruit Peel 30lbs,400 cases,?,?,Zim,.,#VALUE!,?,?,?
210,23386,"June 15, 2017",Kimberly Clark,Assorted Paper Products,?,40,?,?,"July 30, 2017","August 6, 2017",?,?,?
211,23387,"June 15, 2017",Kimberly Clark,Assorted Paper Products,?,40,?,?,"July 30, 2017","August 6, 2017",?,?,?
212,23073,"May 3, 2017",Arcor Brazil,Assorted Arcor Products,?,?,?,?,"July 31, 2017","August 7, 2017",?,?,?
213,23321,"June 5, 2017",Crown Point,Currants 12.5kg,1680 cases,?,?,?,"July 31, 2017","August 7, 2017",?,?,?
214,23320,"June 5, 2017",B. Terfloth + Cie (Canada) Inc.,Sultana Raisins 27..5lbs,1750 cases,?,?,Zim,"August 9, 2017","August 16, 2017",?,?,?
215,23275,"May 30, 2017",Compania Agricola Columbiana,Round up Products,?,?,  ,?,"August 11, 2017","August 18, 2017",?,?,?
216,23404,"June 16, 2017",Compania Agricola Columbiana,Round Up  1 Litre,?,?,?,?,"August 28, 2017","September 4, 2017",?,?,?
217,23405,"June 16, 2017",Compania Agricola Columbiana,Round Up Products,?,?,?,?,"August 28, 2017","September 4, 2017",?,?,?
218,23361,"June 12, 2017",Littop International Limited,Assorted Office Furniture,?,?, ,?,"September 12, 2017","September 19, 2017",?,?,?
219,23361,"June 12, 2017",Littop International Limited,?,?,?, ,?,"September 12, 2017","September 19, 2017",?,?,?
220,23361,"June 12, 2017",Littop International Limited,?,?,?, ,?,"September 12, 2017","September 19, 2017",?,?,?
